AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,target
-47,-93,-92,-83,-81,-77,0,-83,3
-45,-94,-82,-89,-72,-83,0,-83,3
-53,0,-81,-88,0,-89,0,-80,3
-53,-92,-85,-82,-72,-82,0,-84,3
-55,0,-86,-80,-73,-87,0,-79,3
-48,0,0,-83,-72,-73,0,-83,3
-53,0,-74,-85,0,-76,0,-86,3
0,-93,-89,-90,-78,-81,0,-81,3
-68,-95,-82,-83,-81,-74,0,-87,3
-60,-91,-86,-85,-76,-81,0,0,3
-47,-90,-91,-82,-77,-88,0,-89,3
-50,-92,-90,-84,-76,-76,0,-86,3
-51,-91,-89,-82,-83,-74,0,-81,3
-56,0,-79,-84,-74,-79,0,-85,3
-70,0,-83,-83,-77,-78,0,0,3
-55,-93,-82,-83,-75,-78,0,-91,3
-60,-91,-84,-83,-76,-84,0,-88,3
-56,-86,-86,-81,-79,-80,0,-81,3
-73,-96,0,-75,0,-85,0,0,3
-50,-91,-89,-82,-78,-77,0,0,3
-51,0,-85,-84,-84,-76,0,-88,3
-53,-93,-86,-84,-84,-78,0,-83,3
-63,-95,-86,-79,-69,-72,0,-80,3
-52,-95,-83,-84,-80,-73,0,-83,3
-58,0,-84,-83,0,-73,0,0,3
-64,-94,-85,-83,-73,-78,0,-90,3
-50,-90,-90,-84,-78,-89,0,-85,3
-59,0,-83,-90,-71,-83,0,-84,3
-54,-91,-87,-85,-69,-74,0,0,3
-45,0,-89,-89,-73,-73,0,-89,3
-44,0,-88,-82,-64,-78,0,-79,3
-53,-96,0,-92,-59,-80,0,-82,3
-65,-92,-89,-83,-75,-82,0,-89,3
-52,-90,-87,-87,-78,-86,0,-77,3
-64,-94,-85,-84,-79,-88,0,-87,3
-66,0,-86,-92,-77,-84,0,-88,3
-72,-93,0,-90,0,-81,0,-89,3
-54,0,0,-89,-80,-81,0,-83,3
-59,0,-89,-80,-76,-84,0,0,3
-54,-93,-86,-83,-80,-83,0,0,3
-54,-93,-90,-82,-77,-84,0,-86,3
-61,-91,-85,-85,-81,-84,0,0,3
-66,0,-86,-83,-76,-86,0,-87,3
-53,-90,0,-82,-83,-86,0,0,3
-58,-92,-86,-80,-84,-80,0,0,3
-51,0,-85,-82,-86,-84,0,-93,3
-59,-87,-83,-77,-89,-77,0,0,3
-69,-87,-83,-81,-79,-78,0,0,3
-62,-94,-86,-83,-88,-84,0,0,3
-49,0,-90,-81,-85,-83,0,-85,3
-58,-94,-92,-82,-79,-87,0,0,3
-60,0,-88,-77,-84,-89,0,-92,3
-67,0,-83,-90,-78,-88,0,-90,3
-44,-94,-90,-87,-70,-82,0,0,3
-63,0,-85,-89,-81,-81,0,-84,3
-68,-91,-91,-88,-85,-80,0,-91,3
-78,0,-81,-89,-85,-86,0,0,3
-49,-96,-89,-83,-77,-86,0,-72,3
-56,0,-87,-82,-84,-88,0,-72,3
-61,0,-88,-91,-87,-74,0,-88,3
-59,-90,-90,-88,-81,-75,0,-82,3
-51,-84,-85,-87,0,-73,0,-76,3
-49,0,-80,-83,-69,-77,0,-75,3
-63,0,-86,-87,-81,-79,0,-84,3
-59,-91,-88,-86,-73,-82,0,0,3
-66,-87,-84,-77,-79,-81,0,-77,3
